municipality,year,num_households,median_income
Beuningen,2012,10.4,24.8
Beuningen,2013,10.4,25.0
Beuningen,2014,10.5,25.7
Beuningen,2015,10.6,26.1
Beuningen,2016,10.7,27.4
Beuningen,2017,10.8,28.0
Beuningen,2018,11.0,28.6
Beuningen,2019,11.1,29.8
Beuningen,2020,11.2,31.1
Beuningen,2021,11.3,32.4
Beverwijk,2012,18.1,23.0
Beverwijk,2013,18.2,23.1
Beverwijk,2014,18.1,23.9
Beverwijk,2015,18.2,24.3
Beverwijk,2016,18.4,25.1
Beverwijk,2017,18.6,25.7
Beverwijk,2018,18.8,26.3
Beverwijk,2019,18.8,27.7
Beverwijk,2020,19.0,28.9
Beverwijk,2021,19.1,30.1
De Bilt,2012,18.6,27.4
De Bilt,2013,18.7,27.4
De Bilt,2014,18.6,28.2
De Bilt,2015,18.8,28.5
De Bilt,2016,18.9,29.5
De Bilt,2017,19.1,30.1
De Bilt,2018,19.1,30.4
De Bilt,2019,19.1,31.7
De Bilt,2020,19.1,33.0
De Bilt,2021,19.2,34.5
Bladel,2012,7.9,25.2
Bladel,2013,7.9,25.4
Bladel,2014,8.1,25.9
Bladel,2015,8.2,26.4
Bladel,2016,8.3,27.3
Bladel,2017,8.4,28.0
Bladel,2018,8.5,28.5
Bladel,2019,8.5,30.0
Bladel,2020,8.6,31.2
Bladel,2021,8.7,32.7
Blaricum,2012,4.0,29.6
Blaricum,2013,4.0,29.9
Blaricum,2014,4.1,30.7
Blaricum,2015,4.2,30.7
Blaricum,2016,4.3,32.4
Blaricum,2017,4.5,32.8
Blaricum,2018,4.7,33.4
Blaricum,2019,4.8,35.0
Blaricum,2020,4.9,36.1
Blaricum,2021,5.0,37.6
Bloemendaal,2012,9.1,32.9
Bloemendaal,2013,9.3,32.8
Bloemendaal,2014,9.3,34.0
Bloemendaal,2015,9.3,34.1
Bloemendaal,2016,9.3,35.4
Bloemendaal,2017,9.5,36.1
Bloemendaal,2018,9.6,36.5
Bloemendaal,2019,9.6,38.2
Bloemendaal,2020,9.7,39.0
Bloemendaal,2021,9.7,40.8
Boekel,2012,3.7,24.8
Boekel,2013,3.7,25.1
Boekel,2014,3.7,25.9
Boekel,2015,3.8,26.4
Boekel,2016,3.9,27.5
Boekel,2017,4.0,28.4
Boekel,2018,4.0,28.7
Boekel,2019,4.1,30.3
Boekel,2020,4.2,31.4
Boekel,2021,4.3,32.7
Borger-Odoorn,2012,10.9,22.7
Borger-Odoorn,2013,11.0,23.0
Borger-Odoorn,2014,10.9,23.8
Borger-Odoorn,2015,11.0,24.2
Borger-Odoorn,2016,11.0,25.1
Borger-Odoorn,2017,11.0,25.8
Borger-Odoorn,2018,11.1,26.2
Borger-Odoorn,2019,11.1,27.4
Borger-Odoorn,2020,11.2,28.5
Borger-Odoorn,2021,11.2,29.8
Borne,2012,8.9,24.1
Borne,2013,9.0,24.3
Borne,2014,9.1,25.3
Borne,2015,9.1,25.8
Borne,2016,9.2,26.7
Borne,2017,9.5,27.5
Borne,2018,9.6,28.1
Borne,2019,9.6,29.3
Borne,2020,9.7,30.5
Borne,2021,9.8,32.0
Borsele,2012,9.2,24.5
Borsele,2013,9.3,24.7
Borsele,2014,9.3,25.4
Borsele,2015,9.3,26.0
Borsele,2016,9.3,27.0
Borsele,2017,9.4,27.3
Borsele,2018,9.5,27.8
Borsele,2019,9.5,29.2
Borsele,2020,9.5,30.7
Borsele,2021,9.6,32.2
Boxtel,2012,13.6,24.2
Boxtel,2013,13.7,24.4
Boxtel,2014,13.7,25.1
Boxtel,2015,13.9,25.4
Boxtel,2016,14.0,26.4
Boxtel,2017,14.2,26.9
Boxtel,2018,14.2,27.5
Boxtel,2019,14.4,28.5
Boxtel,2020,14.4,29.8
Boxtel,2021,14.5,31.0
Breda,2012,82.3,23.1
Breda,2013,83.4,23.3
Breda,2014,84.2,24.0
Breda,2015,85.1,24.3
Breda,2016,85.3,25.3
Breda,2017,86.0,25.9
Breda,2018,86.9,26.3
Breda,2019,87.1,27.8
Breda,2020,87.2,28.9
Breda,2021,87.5,30.3
Bronckhorst,2012,15.2,24.4
Bronckhorst,2013,15.3,24.6
Bronckhorst,2014,15.3,25.3
Bronckhorst,2015,15.3,25.8
Bronckhorst,2016,15.3,26.8
Bronckhorst,2017,15.4,27.5
Bronckhorst,2018,15.5,27.9
Bronckhorst,2019,15.5,29.3
Bronckhorst,2020,15.4,30.5
Bronckhorst,2021,15.5,31.9
Brummen,2012,9.0,24.0
Brummen,2013,9.0,24.2
Brummen,2014,9.0,24.9
Brummen,2015,9.0,25.5
Brummen,2016,9.0,26.6
Brummen,2017,9.0,27.1
Brummen,2018,9.0,27.6
Brummen,2019,9.0,28.9
Brummen,2020,9.0,30.1
Brummen,2021,9.1,31.4
Brunssum,2012,13.7,21.2
Brunssum,2013,13.6,21.5
Brunssum,2014,13.6,22.0
Brunssum,2015,13.5,22.3
Brunssum,2016,13.5,23.2
Brunssum,2017,13.6,23.7
Brunssum,2018,13.6,24.0
Brunssum,2019,13.6,25.2
Brunssum,2020,13.5,26.2
Brunssum,2021,13.6,27.1
Bunnik,2012,6.1,28.8
Bunnik,2013,6.2,29.1
Bunnik,2014,6.2,30.0
Bunnik,2015,6.2,30.7
Bunnik,2016,6.3,31.5
Bunnik,2017,6.4,32.4
Bunnik,2018,6.4,32.7
Bunnik,2019,6.4,34.3
Bunnik,2020,6.4,35.5
Bunnik,2021,6.5,37.0
Bunschoten,2012,7.4,25.0
Bunschoten,2013,7.4,25.2
Bunschoten,2014,7.7,26.0
Bunschoten,2015,7.8,26.4
Bunschoten,2016,7.8,27.5
Bunschoten,2017,7.9,28.3
Bunschoten,2018,8.0,28.8
Bunschoten,2019,8.2,30.0
Bunschoten,2020,8.3,31.5
Bunschoten,2021,8.4,32.7
Buren,2012,10.1,25.6
Buren,2013,10.2,25.7
Buren,2014,10.3,26.4
Buren,2015,10.5,26.7
Buren,2016,10.5,27.7
Buren,2017,10.7,28.6
Buren,2018,10.7,29.2
Buren,2019,10.9,30.7
Buren,2020,11.0,31.8
Buren,2021,11.2,33.4
Capelle aan den IJssel,2012,29.7,23.7
Capelle aan den IJssel,2013,29.7,23.7
Capelle aan den IJssel,2014,29.9,24.3
Capelle aan den IJssel,2015,30.2,24.4
Capelle aan den IJssel,2016,30.3,25.3
Capelle aan den IJssel,2017,30.4,25.9
Capelle aan den IJssel,2018,30.6,26.3
Capelle aan den IJssel,2019,30.8,27.6
